"","Single-ended 1 Last (mbar)"
"1185","14.492"
"1186","14.493"
"1187","14.493"
"1188","14.491"
"1189","14.491"
"1190","14.490"
"1191","14.491"
"1192","14.489"
"1193","14.490"
"1194","14.490"
"1195","14.489"
"1196","14.490"
"1197","14.491"
"1198","14.491"
"1199","14.488"
"1200","14.489"
"1201","14.489"
"1202","14.487"
"1203","14.487"
"1204","14.487"
"1205","14.488"
"1206","14.486"
"1207","14.487"
"1208","14.487"
"1209","14.487"
"1210","14.487"
"1211","14.488"
"1212","14.485"
"1213","14.485"
"1214","14.484"
"1215","14.485"
"1216","14.485"
"1217","14.484"
"1218","14.483"
"1219","14.484"
"1220","14.484"
"1221","14.484"
"1222","14.483"
"1223","14.484"
"1224","14.482"
"1225","14.485"
"1226","14.483"
"1227","14.482"
"1228","14.482"
"1229","14.483"
"1230","14.484"
"1231","14.481"
"1232","14.480"
"1233","14.481"
"1234","14.481"
"1235","14.484"
"1236","14.481"
"1237","14.482"
"1238","14.481"
"1239","14.481"
"1240","14.480"
"1241","14.480"
"1242","14.480"
"1243","14.479"
"1244","14.477"
"1245","14.481"
"1246","14.477"
"1247","14.478"
"1248","14.477"
"1249","14.476"
"1250","14.475"
"1251","14.476"
"1252","14.474"
"1253","14.473"
"1254","14.476"
"1255","14.478"
"1256","14.475"
"1257","14.473"
"1258","14.538"
"1259","14.588"
"1260","14.497"
"1261","14.477"
"1262","14.472"
"1263","14.477"
"1264","14.579"
"1265","14.576"
"1266","14.493"
"1267","14.475"
"1268","14.512"
"1269","14.592"
"1270","14.485"
"1271","14.476"
"1272","14.474"
"1273","14.515"
"1274","14.594"
"1275","14.483"
"1276","14.475"
"1277","14.474"
"1278","14.585"
"1279","14.555"
"1280","14.478"
"1281","14.471"
"1282","14.468"
"1283","14.599"
"1284","14.643"
"1285","14.492"
"1286","14.474"
"1287","14.471"
"1288","14.471"
"1289","14.469"
"1290","14.468"
"1291","14.478"
"1292","14.623"
"1293","14.494"
"1294","14.468"
"1295","14.484"
"1296","14.587"
"1297","14.538"
"1298","14.473"
"1299","14.468"
"1300","14.465"
"1301","14.577"
"1302","14.555"
"1303","14.471"
"1304","14.466"
"1305","14.468"
"1306","14.643"
"1307","14.568"
"1308","14.470"
"1309","14.465"
"1310","14.467"
"1311","14.628"
"1312","14.524"
"1313","14.470"
"1314","14.465"
"1315","14.467"
"1316","14.502"
"1317","14.664"
"1318","14.545"
"1319","14.472"
"1320","14.465"
"1321","14.466"
"1322","14.463"
"1323","14.640"
"1324","14.620"
"1325","14.475"
"1326","14.463"
"1327","14.464"
"1328","14.513"
"1329","14.649"
"1330","14.569"
"1331","14.472"
"1332","14.465"
"1333","14.463"
"1334","14.474"
"1335","14.625"
"1336","14.621"
"1337","14.478"
"1338","14.467"
"1339","14.464"
"1340","14.473"
"1341","14.599"
"1342","14.496"
"1343","14.467"
"1344","14.466"
"1345","14.638"
"1346","14.492"
"1347","14.459"
"1348","14.482"
"1349","14.599"
"1350","14.468"
"1351","14.465"
"1352","14.621"
"1353","14.474"
"1354","14.469"
"1355","14.611"
"1356","14.480"
"1357","14.463"
"1358","14.485"
"1359","14.612"
"1360","14.470"
"1361","14.464"
"1362","14.489"
"1363","14.553"
"1364","14.461"
"1365","14.465"
"1366","14.582"
"1367","14.472"
"1368","14.457"
"1369","14.458"
"1370","14.458"
"1371","14.570"
"1372","14.469"
"1373","14.455"
"1374","14.485"
"1375","14.525"
"1376","14.460"
"1377","14.458"
"1378","14.526"
"1379","14.550"
"1380","14.465"
"1381","14.461"
"1382","14.486"
"1383","14.559"
"1384","14.464"
"1385","14.461"
"1386","14.511"
"1387","14.509"
"1388","14.462"
"1389","14.461"
"1390","14.463"
"1391","14.466"
"1392","14.466"
"1393","14.535"
"1394","14.458"
"1395","14.451"
"1396","14.454"
"1397","14.497"
"1398","14.479"
"1399","14.450"
"1400","14.453"
"1401","14.498"
"1402","14.468"
"1403","14.452"
"1404","14.450"
"1405","14.465"
"1406","14.534"
"1407","14.456"
"1408","14.454"
"1409","14.459"
"1410","14.499"
"1411","14.537"
"1412","14.456"
"1413","14.459"
"1414","14.499"
"1415","14.527"
"1416","14.452"
"1417","14.453"
"1418","14.536"
"1419","14.526"
"1420","14.457"
"1421","14.451"
"1422","14.448"
"1423","14.569"
"1424","14.468"
"1425","14.449"
"1426","14.457"
"1427","14.592"
"1428","14.457"
"1429","14.450"
"1430","14.464"
"1431","14.555"
"1432","14.590"
"1433","14.472"
"1434","14.466"
"1435","14.537"
"1436","14.530"
"1437","14.464"
"1438","14.458"
"1439","14.479"
"1440","14.535"
"1441","14.464"
"1442","14.463"
"1443","14.565"
"1444","14.575"
"1445","14.481"
"1446","14.464"
"1447","14.591"
"1448","14.473"
"1449","14.462"
"1450","14.541"
